Pid,Uid,Catname,Region,Time,neighbors,forward_neighbors
193,"[361, 293, 637, 435, 706, 246, 708, 912, 54, 338, 218]",12,54,"[18, 22, 21, 17, 20, 19, 13]","[3216, 4996, 193, 5099, 4001, 3812, 1648, 3870, 234, 1853, 3325, 3652, 498, 1264, 3994, 1840, 3063, 3519, 1846, 4632, 2805, 2458, 5009, 1447]","[3812, 3870, 3216, 4996, 1853, 3652, 1264, 1840, 3519, 193, 4632, 2458, 1447, 5099]"
194,"[61, 959, 28, 279]",7,13,"[16, 18, 17, 15, 22, 2, 23, 0, 10, 19, 13, 1, 7, 21]","[4571, 4143, 3121, 2884, 450, 3002, 2617, 985, 1679, 277, 4782, 1466, 4226, 2969, 2332, 1468, 644, 1811, 2367, 2086, 3991, 4398, 5114, 4111, 3676, 23, 2326, 547, 4493, 2524, 2853, 1687]","[2884, 4143, 2617, 277, 4782, 3121, 1466, 4571, 450, 1679, 2332, 3002, 644, 1811, 2367, 5114, 3676, 23, 547, 2524, 1687]"
195,"[781, 951, 495, 849, 314, 904, 639, 227]",186,54,"[14, 18, 15, 17, 19, 21, 13]","[3182, 65, 4071, 1629, 3876, 3413, 3281, 4370, 34, 5103, 3004, 2805, 5054, 299, 1671, 3982, 1943, 1880]","[1629, 3413, 4370, 5103, 2805, 5054, 299, 3982, 1880, 65]"
196,"[797, 638]",189,21,"[18, 22, 17, 0, 23, 10]","[2762, 1809, 196, 4356, 3429, 5057, 2170, 2191, 2620, 2440, 4399, 1151, 364, 3884, 2448]","[2762, 2170, 1809, 2191, 2440, 1151, 364, 196, 4356, 2448, 3429]"
197,"[743, 408, 241, 35]",36,58,"[5, 15, 6, 7, 4, 10, 3, 21, 16, 12, 8]","[2505, 1553, 3268, 352, 519, 2139, 197, 2007, 2040, 2015, 3890, 547, 4368, 3413, 919, 696, 1777, 799, 3010, 3580, 2375]","[2505, 1553, 352, 2040, 3890, 4368, 919, 1777, 3268, 519, 197, 2375]"
198,"[1017, 15, 994, 265, 439, 675, 861, 914, 330, 578, 856, 199]",142,67,"[18, 5, 21, 20, 15, 19, 23, 13, 22, 17]","[5135, 385, 1219, 2096, 4616, 1398, 4282, 34, 1567, 3385, 1517, 2688, 3713, 2097, 3630, 2488, 1081, 4855, 1948, 4434, 363, 339, 2678]","[1219, 5135, 4616, 4282, 1567, 1517, 3713, 3630, 1081, 1948, 363, 2678]"
199,[107],67,10,"[21, 20, 22, 17]","[3152, 4291, 964, 1461, 2529]","[4291, 3152, 964, 1461]"
200,[673],67,88,"[3, 1, 6, 7, 2, 4, 5, 0, 13, 16, 19, 18, 14, 23, 22]","[200, 4141, 1523, 1688, 1970, 1460, 4000, 2414, 2223]","[200, 4141, 1688, 1523, 1970, 1460, 2223]"
201,[256],95,88,"[16, 15, 14, 12, 13]","[1710, 5032, 2409, 501, 629, 1334, 2111, 5083, 3765, 1820, 1688, 8, 502, 1060, 1644, 2188]","[1710, 5032, 629, 2111, 1688, 1060, 1644, 2188]"
202,"[720, 916, 1010, 628, 264]",12,76,"[0, 3, 1, 18, 23, 2]","[5066, 2754, 3823, 202, 3812, 2311, 479, 1948, 1846, 2015, 1926, 3701, 2035, 2556, 2495]","[2754, 5066, 2311, 3823, 1846, 1926, 202, 2035, 2495]"
203,"[930, 1046, 579, 632, 802, 454, 453, 973, 611, 53, 105, 289, 1067, 89, 395, 876, 373, 1058, 909, 762, 306, 281, 1066, 819, 469, 515, 271, 1010, 200, 350, 968]",37,67,"[19, 17, 15, 20, 9, 21, 14, 10, 11, 12, 22, 18, 13, 16]","[1211, 4422, 3592, 123, 3128, 289, 4275, 889, 1977, 2469, 4297, 2682, 2726, 3440, 3116, 3532, 4314, 3723, 3113, 3945, 3060, 3338, 1456, 4518, 2049, 2393, 1860, 1668, 1480, 4391, 503, 864, 139, 3519, 1591, 1548, 2872, 3367, 1520, 672, 2426, 1994, 4495, 415, 5080, 5022, 4798, 1630, 1465, 2544, 4557, 4889, 2283, 1171, 4514, 4489, 4169, 4683, 1014, 5086, 244, 1775, 1801, 2559, 2296, 2822, 3812, 4242, 505, 4164, 3174, 4538, 4434]","[1211, 889, 2469, 3592, 2682, 3440, 3532, 3723, 3945, 3338, 4518, 2393, 1860, 1480, 4391, 503, 139, 3128, 1591, 2872, 3367, 672, 1994, 415, 5022, 1630, 2544, 4889, 1171, 4489, 4169, 1014, 244, 123, 2559, 2296, 3812, 505, 3174, 4434]"
204,[738],70,24,"[9, 12, 8]","[772, 160, 999, 1460, 642, 3142, 493]","[160, 999, 1460, 642, 772, 3142, 493]"
205,[682],49,69,"[11, 18, 8, 14, 23, 10, 12, 13, 9, 15, 16, 17]","[239, 3855, 2402, 698, 474, 205, 4030, 437, 3854, 3784, 788, 2239, 66]","[3855, 239, 2402, 698, 474, 437, 205, 2239, 4030]"
206,"[405, 949, 723, 735, 371, 586, 783, 1068]",95,58,"[17, 18, 23, 3, 11, 9, 8, 12, 6, 7, 16, 21, 22]","[790, 2301, 2786, 3184, 3900, 4851, 206, 4920, 3812, 4213, 1826, 3331, 1499, 1873, 2473, 3479, 1822, 1677, 1779, 398, 2872, 4518, 2728, 3978, 3170, 865, 4978, 4632, 3367, 2622, 3036]","[3900, 4851, 3184, 2301, 2786, 4213, 3331, 1499, 2473, 1822, 1779, 2872, 206, 2728, 3170, 4978, 3367, 4920, 3036]"
207,[286],43,23,"[13, 3, 21, 1, 22, 12, 17, 16, 20, 23]","[2482, 4090, 82, 21, 499, 4953, 3193, 587, 2679, 1994]","[4090, 82, 21, 4953, 499, 3193, 587, 2679]"
208,"[437, 373, 378, 491, 612, 883, 105, 392, 221, 892, 385, 605, 471, 330]",45,54,"[9, 12, 16, 19, 10, 17, 13, 20, 0, 18, 21, 22, 15, 11, 14, 8, 7]","[208, 3196, 1449, 3746, 1471, 1305, 2960, 824, 4771, 456, 1900, 3394, 75, 4409, 2749, 3675, 1503, 3532, 4254, 4855, 1116, 2371, 4942, 1689, 1763, 685, 4281, 1480, 4555, 1460, 4449, 4207, 3519, 457, 4034, 1880, 2793, 1194, 747, 2232, 5082, 2701, 5023, 4575, 3409, 4685, 3417, 3375, 4536, 2773, 1994, 1165, 1606, 1652, 4912, 3851, 2130, 3360, 91, 1567, 1953, 4451, 2349]","[208, 1449, 3746, 3196, 1471, 3532, 4855, 2371, 4942, 2960, 1763, 685, 4281, 4555, 4449, 3519, 4034, 2793, 747, 5082, 5023, 3409, 4771, 3417, 456, 4536, 1305, 1900, 2773, 1994, 75, 3394, 1165, 1606, 1652, 4912, 3675, 3360, 1567, 1953, 2349]"
209,"[767, 639, 991, 493, 963, 1043, 708, 836, 268]",61,67,"[15, 17, 13, 19, 7, 12, 18]","[1460, 2033, 136, 372, 3430, 2699, 4942, 4821, 3063, 2439, 2801, 1084, 123, 375, 1906, 2074, 1704, 3234, 611, 2299, 3625, 886, 3853, 1423, 1685, 2376]","[372, 2699, 4821, 2439, 1084, 123, 1906, 1704, 2033, 611, 3625, 886, 1423, 2376]"
210,[342],104,46,"[6, 11, 8, 0, 5, 9, 7, 13]","[1013, 3812, 3099, 3297, 2628]","[1013, 2628, 3812]"
211,"[494, 240, 1030, 25, 312, 744, 714, 62, 702, 706, 740, 143, 502, 346, 363, 686, 857, 200, 446, 176]",51,67,"[19, 20, 21, 22, 0, 2]","[3983, 5108, 2974, 2759, 2696, 1388, 132, 703, 4849, 5053, 2401, 734, 1011, 1197, 1503, 661, 4397, 2582, 4534, 29, 4365, 2777, 632, 2035, 1617, 3158, 2805, 3657, 4738, 4646, 3762, 588, 3694, 2033, 2335, 2236, 4009]","[2696, 132, 4849, 5053, 734, 1197, 661, 4397, 4534, 5108, 4365, 632, 2974, 1617, 2805, 4738, 3762, 3694, 2335, 4009]"
212,"[937, 699, 315, 357, 246, 117, 275, 1047, 23, 816]",12,67,"[0, 23, 22, 21, 14, 1, 2, 20, 19]","[2227, 3185, 2611, 3703, 4465, 1729, 3773, 1945, 3212, 212, 4696, 3711, 2166, 941, 3242, 5002, 2781, 4818, 2956, 3116, 2875, 547, 4829, 1992, 4088, 4282, 247, 1137, 762, 3944, 2847, 3994]","[3212, 4696, 2227, 3185, 941, 2611, 5002, 3703, 4818, 4465, 1729, 3116, 547, 4829, 1992, 4282, 1137, 1945, 212, 3994]"
213,"[409, 462, 1057, 175, 574, 841, 678, 984, 672, 994, 929]",115,76,"[12, 19, 14, 17, 22, 7, 18, 20, 1, 21, 16, 8, 23, 10, 15, 3, 9, 2, 0, 6]","[4365, 1237, 660, 213, 2298, 4410, 4964, 1739, 1460, 1017, 2158, 60, 2222, 4242, 2963, 4936, 4770, 1210, 1844, 1350, 2073, 2608, 3771, 2694, 1510, 1346, 1644, 3173, 2838, 471, 3128, 123, 3932, 3416, 41, 852, 4489, 2015, 4112, 2330, 3770, 3437, 999, 3261, 4077, 443, 1748, 1878, 2132, 3208, 3052, 418, 172, 3519, 3574]","[660, 1237, 213, 2222, 4964, 1460, 4365, 60, 1739, 2608, 4936, 2298, 1510, 1210, 1346, 1644, 1844, 3173, 471, 1350, 4242, 41, 4489, 2015, 4112, 2330, 3770, 3437, 999, 2158, 4077, 1748, 4410, 1878, 2132, 3771, 3052, 418, 2963, 172, 3574]"
214,[80],70,67,"[11, 13, 10, 8, 17, 9, 14, 7, 12, 15, 16, 6, 19]","[560, 214, 4262, 1075, 4882, 359, 1460, 4814, 2921, 372, 91]","[560, 214, 4262, 1075, 1460, 372, 4882, 91]"
215,"[444, 71, 467, 436, 1061, 181, 280, 58, 453, 530, 501, 613, 503]",61,54,"[7, 6, 10, 9, 13, 19, 16, 8, 20, 11, 21]","[863, 1594, 486, 215, 4865, 3507, 1195, 1097, 1145, 3211, 2487, 5082, 4393, 3531, 1779, 1911, 2302, 2726, 5080, 3274, 3354, 3344, 4988, 1459, 1056, 4749, 864, 2896, 3812, 1668, 3519, 822, 5071, 4673, 2810, 5029, 441, 1751, 4181]","[863, 1195, 1145, 2487, 4393, 1779, 2302, 5080, 3274, 3354, 215, 1594, 864, 4865, 3812, 3519, 5071, 2810, 441, 4181]"
216,[632],201,31,"[9, 16, 8, 19, 10, 21, 12]","[1826, 4483, 4691, 298, 4495, 2337, 5133, 1475, 361, 2490, 3974, 2045, 1366, 2964]","[4691, 4483, 4495, 1826, 1475, 2490, 2045, 2964]"
217,[186],107,43,"[2, 16, 3, 15, 17, 0, 1, 4, 19]","[540, 3693, 217, 658, 3802, 4460, 3284, 449, 275, 3031, 2782, 4727, 4917, 652, 1270, 797]","[540, 658, 217, 4460, 449, 4727, 4917, 652, 1270]"
218,"[520, 367, 657, 1079, 946, 975]",116,65,"[12, 18, 16, 11, 20, 14, 13, 8, 3, 2]","[4313, 1870, 656, 3318, 3785, 2389, 915, 1477, 2342, 3236, 2693, 3543, 3070]","[4313, 1870, 656, 3785, 2389, 2342, 2693, 3070]"
219,"[321, 925, 986, 292, 213, 338, 749, 249, 183]",15,67,"[16, 3, 8, 2, 5, 6, 19, 20]","[34, 3819, 547, 3461, 2172, 1801, 4913, 1340, 2599, 4280, 4078, 4813, 2875, 3787, 2607, 1520, 4829, 3045, 2584, 3635, 4950, 5074, 363]","[2172, 1801, 1340, 3819, 2599, 4078, 2875, 3787, 1520, 3045, 3635, 5074, 363]"
220,"[594, 279, 183]",175,65,"[16, 10, 9, 20, 14, 8, 13, 15, 11, 12]","[4180, 168, 4318, 4337, 745, 220, 855, 4640, 603, 3314, 3461, 4644, 612, 2086, 775, 4634, 4492, 275, 1642]","[4180, 4318, 4337, 220, 855, 4644, 2086, 168, 603, 775, 745, 4634, 3314, 1642]"
221,"[894, 875, 466, 43, 906, 356, 1028, 937, 178, 182, 236, 311, 318, 81, 58, 883, 956, 995]",186,24,"[18, 11, 21, 19, 14, 12, 15, 16, 17, 13, 20]","[1775, 3562, 3367, 3636, 4049, 5054, 2842, 4245, 15, 4399, 4054, 4678, 438, 3215, 4117, 3883, 73, 2312, 4393, 3353, 3348, 1747, 557, 4309, 3362, 2166, 4966, 385, 506, 1953, 1512, 1902, 1945, 3212, 4506, 1621, 3515, 37, 2032, 3709]","[3636, 5054, 4245, 4399, 4678, 3215, 4117, 73, 1775, 3353, 1747, 4309, 2166, 385, 1953, 3562, 1902, 3212, 1621, 37, 3709]"
222,[735],129,58,"[9, 19, 11, 16, 10, 7, 8, 13, 12, 21, 6, 23, 15, 18, 14]","[308, 2331, 3339, 222, 3591, 17, 3443, 4994, 2173, 2255, 3421, 2488, 1506, 3767, 3644, 3978, 339, 3170, 2795, 4086, 1369, 447, 958, 3611, 3147, 3822, 3776, 4229, 3406, 1444]","[308, 3339, 222, 17, 2255, 3443, 339, 2488, 4086, 1506, 447, 3421, 3767, 3978, 3776, 3406, 4994, 3644, 3170]"
223,[575],175,54,"[7, 16, 8, 14, 22, 19, 18, 2, 21]","[2391, 1064, 888, 2744, 14, 2082, 3130]","[2391, 2744, 1064, 14, 888]"
224,"[1057, 229, 260, 472, 14, 1073]",129,67,"[12, 14, 13, 15, 10, 8, 9]","[990, 363, 1197, 5040, 4247, 387, 547, 4154, 874, 3461, 2254, 3273, 452, 2042, 2775, 930, 1059, 2093, 810, 3477, 626, 1220, 3574, 896, 4922]","[990, 1197, 4247, 547, 3461, 3273, 452, 363, 2775, 930, 2093, 810, 626, 3574, 4922]"
225,"[750, 130]",70,67,"[9, 10, 11, 14, 15, 13, 16]","[4131, 1107, 2049, 1159, 5096, 3519, 839, 1511]","[4131, 1107, 5096, 1159, 3519]"
226,"[794, 139, 905, 588, 20, 1034, 872, 483, 283, 1046, 349]",77,54,"[14, 17, 18, 20, 12]","[4410, 3519, 1038, 3308, 4910, 2683, 63, 4276, 1165, 1306, 5071, 995, 762, 4418, 371, 407, 4517, 4870, 3488, 3287, 4391]","[4910, 63, 1165, 5071, 4410, 3519, 1038, 762, 371, 4517, 3488, 4391]"
227,"[452, 848, 57, 231, 22, 449, 675, 636]",30,54,"[13, 14, 16]","[2656, 1460, 3486, 348, 1995, 4389, 363, 3447, 505, 4909, 954, 1111, 3519, 3363, 3973, 906, 840, 2722, 4578, 318]","[1460, 348, 4389, 2656, 3447, 4909, 3519, 906, 2722, 318]"
228,"[875, 27, 793, 450, 649, 437, 89, 552, 439, 180, 843, 596, 482, 530, 612, 477, 381]",12,24,"[2, 9, 3, 15, 1, 0, 19, 6, 21, 23]","[3521, 3560, 4987, 3905, 5053, 2703, 3709, 421, 1259, 3519, 2705, 2333, 4082, 3494, 718, 3862, 2048, 2873, 3326, 5126, 1785, 243, 4101, 3137, 3812, 385, 2280, 2226, 2320, 1880, 1550, 2834, 2576, 4375, 3069, 3803, 2070, 3760, 2801]","[3521, 4987, 3519, 3905, 2333, 3494, 3862, 5053, 2703, 3326, 5126, 3709, 4101, 3812, 2280, 2226, 1880, 2834, 3069, 3803, 3760, 421]"
229,"[994, 166, 767, 681, 633, 688, 574, 16, 1011, 968, 1045, 804, 100, 761, 275]",90,24,"[18, 8, 15, 21, 14, 23, 3, 16, 5, 12, 17, 11, 22, 6, 13, 19, 0, 7, 10]","[4340, 35, 160, 939, 229, 1911, 2483, 4474, 721, 2781, 2182, 3798, 3481, 1973, 4335, 1359, 2309, 3703, 2611, 5126, 1821, 4368, 4858, 3065, 3488, 2844, 1297, 1348, 2775, 4496, 4823, 462, 2870, 3483, 2801, 463, 547, 2286, 3789, 3562, 645, 5039, 740, 1443]","[4340, 160, 939, 2182, 229, 4474, 1359, 721, 1911, 2309, 2781, 2611, 1821, 4368, 3065, 2844, 1348, 35, 2483, 4823, 2870, 2801, 463, 3481, 1973, 645, 740, 1443]"
230,[1077],107,7,"[13, 0, 1, 5, 23, 3]","[3921, 2569, 3718, 230, 86, 4393, 5037, 1936, 4768]","[3921, 3718, 4393, 5037, 230, 1936, 86]"
231,"[923, 28, 985, 431, 113, 986, 142, 270, 456]",203,32,"[11, 6, 17, 18, 15, 5, 12, 22, 10, 23, 1, 21, 7, 0, 4, 3, 20]","[3237, 2653, 727, 4899, 4232, 3189, 2590, 2332, 4159, 4529, 2725, 2642, 3364, 3066, 2141, 2969, 4508, 5068, 5071, 4553, 3758, 2239, 946, 2591, 4816, 944, 3519, 1172, 4265, 160, 1333, 4881, 1383]","[727, 2653, 3189, 4899, 4232, 2642, 2590, 2332, 3364, 3066, 2141, 4159, 2969, 5068, 4553, 2239, 946, 4816, 3519, 1172, 2725, 160, 4881, 4529]"
232,"[997, 275, 764, 945, 83, 720]",61,32,"[13, 9, 14, 15, 8, 16, 19, 11, 10, 12]","[3572, 1341, 4457, 1487, 3500, 1334, 232, 4465, 1501, 2781, 3703, 398, 2754, 4144, 3382, 186, 84, 634, 1286, 1821, 3402, 4000, 2409, 2362, 3812, 2223]","[3500, 3572, 1341, 1501, 3703, 2754, 4144, 1487, 186, 634, 1286, 1334, 232, 2362, 2223, 4457]"
233,"[273, 129, 281, 51, 717, 1073, 545, 208]",61,67,"[10, 12, 18, 15, 21, 20, 17, 16, 19, 22, 9, 13, 8, 11]","[1947, 4606, 2474, 3338, 233, 1497, 762, 4698, 2371, 3470, 3997, 804, 1399, 2058, 888, 128, 3531, 1240, 3809, 397, 1771, 1775, 5124, 3519, 137, 4381, 3849, 2804, 3501, 155, 523, 4611, 4134, 4510, 1044, 5126, 2772, 3333, 3867, 4459, 4852, 2909, 1857, 5135, 3165, 2959]","[1947, 4606, 2474, 3338, 233, 4698, 3997, 1399, 888, 3531, 3809, 1771, 1775, 3519, 3849, 3501, 523, 4611, 1497, 762, 3867, 4459, 4852, 2371, 5135, 2959]"
234,"[254, 338]",70,54,"[10, 12, 15, 9, 20, 21, 19, 13, 18, 17, 7, 11, 14]","[3750, 1690, 234, 4019, 249, 4140, 2141, 4178, 1097, 2669, 4636, 1257, 1344, 3818, 2632, 3012, 2349, 1517, 2451, 1250, 4393, 3374, 1388, 4, 5054, 1902, 2607, 571, 3519, 193]","[1690, 3750, 234, 4140, 249, 2669, 1257, 2141, 3818, 2632, 4178, 2349, 4019, 1517, 4393, 1388, 5054, 2607, 3519, 193]"
235,[784],15,4,"[10, 8, 11, 7, 9]","[3132, 887, 2915, 922, 235, 872, 1975, 3283, 5013, 158, 1072, 2651, 2071, 1268, 1431]","[3132, 2915, 235, 3283, 158, 887, 2651, 2071, 1268, 1975]"
236,"[270, 1011, 1063, 8, 322, 299, 574, 131, 504, 479, 240, 901, 561, 710, 994, 1023, 346, 369, 548, 804, 199, 522]",115,32,"[17, 10, 6, 14, 12, 15, 5, 2, 20, 19, 13, 9, 16, 8, 11, 23, 18, 7, 1, 22, 4, 21]","[10, 4780, 3227, 1358, 2073, 236, 4121, 1899, 2815, 2488, 2306, 2630, 2316, 2271, 4328, 1221, 3291, 3519, 2152, 313, 2112, 3589, 607, 1291, 2634, 2897, 163, 908, 4520, 3969, 115, 3209, 5011, 4509, 4480, 4545, 1197, 681, 3545, 2356, 2051, 3720, 3988, 535, 1637, 4857, 2594, 4005, 3525, 3758, 2294, 2370, 4639, 767, 511, 4930, 59, 4683, 2367, 4138, 883, 4670, 1311, 1747, 2569, 2993, 3904, 432, 3286, 2675, 2559, 954, 3602, 3718, 3318, 637, 2821, 5135, 831, 2200, 2463, 917, 2665, 1133, 470, 4393, 2785, 4087, 160, 3241, 456, 1985, 2363, 1959, 2708, 1459, 2424, 2668, 1378, 1174, 30, 4322, 1783, 1593, 4000, 3586, 4754, 3697, 2396, 741]","[10, 2073, 1358, 3227, 236, 2630, 2815, 2316, 1899, 4780, 313, 2306, 4328, 2488, 115, 2271, 3291, 2152, 3589, 1197, 3519, 2634, 3545, 4121, 2051, 3988, 1637, 2594, 163, 4005, 908, 3525, 2294, 2370, 4639, 5011, 511, 4520, 3209, 4930, 4670, 1747, 4509, 4480, 2993, 3904, 3286, 2559, 3602, 3318, 5135, 2112, 2200, 2463, 2665, 1133, 4545, 607, 681, 160, 3241, 1985, 2363, 2708, 2668, 1174, 1291, 4322, 2356, 4000, 4754, 2396]"
237,[784],119,4,"[22, 20, 12, 2, 18, 4, 8, 10, 11, 23]","[887, 2651, 3132, 237, 872, 5080, 922, 1072, 5013, 2915, 2071, 3604]","[887, 872, 2651, 237, 5080, 3132, 5013, 2915, 3604]"
238,[687],133,76,"[10, 8, 12, 11, 7, 16, 17, 9, 14]","[3082, 1924, 3024, 693, 3662, 2736, 3562, 238, 3109, 986, 685, 3172, 4074, 3909, 557, 5080, 1834, 4296, 2396, 2015, 3620, 591, 1926]","[3082, 3024, 3662, 3562, 2736, 986, 238, 3109, 3172, 4074, 557, 1834, 4296, 2396, 3620, 591, 1924, 1926]"
239,"[682, 758]",121,69,"[11, 7, 14, 16, 13, 17, 10, 22, 19, 12, 0, 18, 23, 9, 15, 20]","[205, 3855, 2402, 474, 788, 698, 3784, 239, 437, 2057, 3854, 2546, 1721, 4030, 2239, 3604, 3297, 2601]","[205, 3855, 474, 788, 2402, 437, 239, 2057, 698, 2239, 3604, 3784, 2546, 1721, 2601]"
240,"[440, 241]",141,38,"[11, 13, 9, 10, 7, 8, 12, 20]","[1578, 3558, 3618, 240, 2079, 339, 977, 3325, 3390, 3230]","[1578, 3558, 3618, 240]"
241,"[263, 789, 25, 1048]",70,67,"[9, 14, 8, 10, 13]","[241, 984, 1563, 4489, 1775, 2419, 3794, 2833, 4903, 3513, 3711, 4393, 5009, 3441, 3812, 3235, 1312, 3137, 3060, 385, 4126, 3859, 2535, 1528]","[241, 984, 1563, 4489, 3441, 3235, 1775, 2419, 3794, 2833, 3137, 4903, 3513, 3711, 4393, 385, 3859, 1528]"
242,"[326, 724, 269, 370]",7,24,"[18, 19, 13, 14, 10, 11, 16, 21, 20, 12, 17, 22, 15, 23]","[242, 905, 1106, 3461, 4366, 4922, 457, 4399, 441, 1718, 3666, 4793, 5124, 3498, 1879, 3533, 804, 603, 547, 1183, 4009, 4891, 4393, 1880, 3344, 2866, 337, 4312, 806, 4667, 1176, 1265, 4152]","[242, 905, 3461, 1106, 4922, 5124, 457, 1879, 4399, 3533, 441, 1718, 4393, 1880, 3344, 4312, 4366, 806, 1176, 4152]"
243,"[787, 392, 637, 712, 849, 977, 137, 899, 997, 436, 318, 776, 477, 181, 92, 740, 916, 845, 482, 408, 888, 692, 213, 604, 261, 295, 995, 1008, 498, 1028]",12,67,"[20, 0, 21, 19, 22, 18, 17, 1, 2, 15, 13, 14, 23, 10, 16]","[1572, 3060, 3130, 3470, 4224, 979, 1853, 2623, 1898, 4538, 1792, 3668, 71, 4928, 1820, 1018, 4207, 1029, 780, 4101, 893, 1427, 669, 228, 547, 2900, 3679, 3635, 4489, 5050, 2426, 2092, 2239, 4742, 2252, 2923, 169, 4134, 5112, 414, 4523, 2206, 5029, 747, 1888, 4575, 3226, 4105, 1939, 4242, 4359, 3201, 3296, 804, 1118, 3304, 4473, 4521, 4708]","[3060, 979, 3130, 1898, 1572, 4538, 3668, 4928, 1820, 4207, 1029, 4101, 1427, 228, 2900, 3635, 5050, 2092, 4742, 2923, 4134, 414, 2206, 3470, 1888, 3226, 1939, 4359, 3296, 1118, 4473, 4708]"
244,"[194, 930, 837, 338]",8,54,"[15, 14, 10, 8, 7, 9, 13, 16, 12, 6, 20]","[4852, 1064, 244, 2759, 431, 1994, 1422, 2791, 3363, 3519, 1075, 2052, 995, 3711, 628, 2622, 4361, 1216, 2607, 1919, 2378, 203, 3657]","[4852, 1064, 244, 2791, 2759, 431, 1994, 1422, 3519, 1075, 2052, 3711, 2622, 2607, 2378, 3657]"
245,"[228, 987]",183,24,"[16, 9, 13, 10]","[4927, 1098, 3519, 908, 4583, 4915, 3970, 5030, 4393, 130, 1803, 508, 963, 1460]","[4927, 4915, 5030, 3519, 130, 508, 1098]"
246,"[1076, 888, 83, 776, 338, 875, 306, 398, 800, 1048, 933, 943, 19]",12,24,"[1, 23, 20, 19, 0, 22, 2, 4]","[1629, 1701, 3572, 2484, 1120, 2152, 3521, 885, 1902, 595, 2188, 3037, 5054, 1649, 971, 2263, 4910, 3135, 2724, 5053, 748, 1528, 4000, 4909, 2423, 4778, 583, 347, 1690, 3651, 2084]","[1701, 2484, 2152, 885, 595, 3037, 1649, 2263, 3135, 5053, 1528, 4909, 4778, 347, 3651, 2084]"
247,"[1019, 632, 1005, 898, 691, 494, 207, 571, 819, 725, 816]",135,67,"[19, 18, 13, 14, 17, 0, 20, 22, 21]","[3180, 88, 1099, 247, 4597, 3715, 547, 3532, 3271, 2828, 1640, 2213, 433, 3626, 3135, 4849, 3176, 3770, 2944, 5030, 2840, 4922, 1128, 5059, 212, 3584, 3700, 3301, 3910, 3889, 1595, 3440]","[3180, 88, 1099, 247, 4597, 2213, 4849, 547, 3532, 2944, 2840, 1128, 212, 3271, 3584, 3301, 2828, 1640, 3910, 1595, 433]"
248,[1003],70,32,"[0, 23]","[1665, 1020, 248, 5080, 4748, 3589, 3261, 3983]","[1665, 1020, 248, 3589]"
249,"[338, 849, 756, 951]",37,24,"[18, 13, 19, 12, 10, 17, 15, 11]","[1902, 234, 249, 1250, 4140, 2989, 3750, 65, 4178, 4019, 319, 1497, 595, 3656, 3394, 3836, 1929, 1630, 1097]","[1902, 249, 4178, 1250, 319, 2989, 234, 1497, 3750, 3656, 3394, 1929, 1097, 65]"
250,[547],90,70,"[23, 20, 21, 22, 19, 18, 17, 1, 14, 0, 15]","[3177, 3290, 4790, 2265, 3371, 2795, 1796]","[3290, 4790, 3371, 2265, 2795]"
251,"[610, 1049, 325, 14, 1053, 140, 69, 737, 1024, 763, 176]",95,52,"[11, 13, 19, 12, 9, 10, 14, 18, 16, 15]","[4508, 1916, 3753, 79, 3682, 2553, 2440, 4849, 425, 4420, 3380, 438, 66, 1517, 7, 723, 2141, 3876, 3702, 3967, 114, 4174, 2291, 5029, 3128, 2228, 3351]","[1916, 3682, 2440, 79, 3380, 66, 7, 4508, 2141, 3702, 114, 2291, 5029, 2228, 3753, 3351]"
252,"[551, 151, 663, 292, 824, 851, 971, 397, 172, 72, 735, 685, 849, 873, 615, 475, 61, 282, 647, 240, 724, 286, 986, 88]",95,67,"[8, 9, 11, 12, 16, 17, 18, 19, 21, 22, 23, 1, 2]","[2790, 3166, 558, 3615, 3032, 2053, 2133, 3121, 3676, 2697, 1988, 4164, 3621, 5029, 1456, 3873, 163, 5075, 587, 4953, 4849, 4233, 3172, 3450, 3046, 1579, 910, 4561, 4533, 966, 3748, 3088, 574, 3913, 4667, 1265, 17, 3443, 1123, 4428, 2280, 3116, 3111, 4529, 1646]","[3676, 1988, 3621, 2790, 1456, 3166, 163, 5075, 4953, 4233, 3615, 3450, 1579, 4561, 966, 3088, 3913, 1265, 3443, 4428, 3116, 2053, 3032, 3111, 2133, 1646]"
253,"[277, 260, 367, 869, 754, 993, 321, 389, 613, 714, 688, 632, 574, 1068, 813, 77, 241, 825, 765]",115,67,"[17, 21, 20, 0, 18, 23, 13, 19, 8, 14, 4, 15, 10, 1, 16]","[2253, 452, 3519, 3318, 810, 598, 2756, 1460, 361, 1292, 5127, 2821, 3890, 2775, 3145, 2916, 1159, 363, 4086, 106, 2266, 547, 2678, 1046, 3413, 4343, 2038, 873, 4730, 2854, 123, 637, 4340, 160, 1604, 3055, 1859, 435, 142, 1126, 1730, 1283, 2533, 1614, 1595, 2049, 4719, 4266, 3639, 730]","[2253, 810, 3318, 5127, 3890, 598, 1159, 4086, 2266, 1046, 4343, 2756, 873, 2854, 637, 361, 160, 1859, 435, 1126, 1283, 1614, 2049, 3519, 4266, 730]"
